student_idx,student_id,intern_idx,internship_id,title,domain,score,rank
0,S00001,23,I00024,Finance Intern,Finance,0.9022507667541504,1
0,S00001,2,I00003,Data Science Intern,Data Science,0.8915796279907227,2
0,S00001,88,I00089,Backend Development Intern,Backend Development,0.7959589958190918,3
0,S00001,101,I00102,Mobile Intern,Mobile,0.6683769226074219,4
0,S00001,53,I00054,Marketing Intern,Marketing,0.6646329164505005,5
0,S00001,139,I00140,Product Intern,Product,0.6607221364974976,6
0,S00001,15,I00016,Product Intern,Product,0.6386139988899231,7
0,S00001,97,I00098,DevOps Intern,DevOps,0.6189917325973511,8
0,S00001,68,I00069,DevOps Intern,DevOps,0.6175034642219543,9
0,S00001,116,I00117,Backend Development Intern,Backend Development,0.5373050570487976,10
1,S00002,22,I00023,Marketing Intern,Marketing,0.9131547212600708,1
1,S00002,107,I00108,Marketing Intern,Marketing,0.8956176042556763,2
1,S00002,121,I00122,Marketing Intern,Marketing,0.8941108584403992,3
1,S00002,18,I00019,Finance Intern,Finance,0.8883692026138306,4
1,S00002,50,I00051,Mobile Intern,Mobile,0.8799923658370972,5
1,S00002,12,I00013,Backend Development Intern,Backend Development,0.8790266513824463,6
1,S00002,5,I00006,Data Science Intern,Data Science,0.8776364326477051,7
1,S00002,27,I00028,Finance Intern,Finance,0.875259280204773,8
1,S00002,13,I00014,Data Science Intern,Data Science,0.8736847043037415,9
1,S00002,87,I00088,Marketing Intern,Marketing,0.8703962564468384,10
2,S00003,139,I00140,Product Intern,Product,0.9170605540275574,1
2,S00003,97,I00098,DevOps Intern,DevOps,0.9120712876319885,2
2,S00003,24,I00025,Product Intern,Product,0.8939563632011414,3
2,S00003,136,I00137,DevOps Intern,DevOps,0.8611039519309998,4
2,S00003,5,I00006,Data Science Intern,Data Science,0.8328800797462463,5
2,S00003,119,I00120,Backend Development Intern,Backend Development,0.7962937355041504,6
2,S00003,109,I00110,Data Science Intern,Data Science,0.6913466453552246,7
2,S00003,85,I00086,Backend Development Intern,Backend Development,0.680963397026062,8
2,S00003,27,I00028,Finance Intern,Finance,0.6785974502563477,9
2,S00003,3,I00004,Finance Intern,Finance,0.6742494702339172,10
3,S00004,23,I00024,Finance Intern,Finance,0.8371681571006775,1
3,S00004,56,I00057,Frontend Design Intern,Frontend Design,0.7224141359329224,2
3,S00004,63,I00064,Mobile Intern,Mobile,0.7194401621818542,3
3,S00004,22,I00023,Marketing Intern,Marketing,0.6925116181373596,4
3,S00004,139,I00140,Product Intern,Product,0.6905192732810974,5
3,S00004,121,I00122,Marketing Intern,Marketing,0.684607982635498,6
3,S00004,24,I00025,Product Intern,Product,0.6786907315254211,7
3,S00004,16,I00017,Frontend Design Intern,Frontend Design,0.6493078470230103,8
3,S00004,2,I00003,Data Science Intern,Data Science,0.6493078470230103,9
3,S00004,5,I00006,Data Science Intern,Data Science,0.646599531173706,10
4,S00005,5,I00006,Data Science Intern,Data Science,0.9137331247329712,1
4,S00005,24,I00025,Product Intern,Product,0.7411215305328369,2
4,S00005,97,I00098,DevOps Intern,DevOps,0.7405611276626587,3
4,S00005,15,I00016,Product Intern,Product,0.6871169209480286,4
4,S00005,139,I00140,Product Intern,Product,0.6861351132392883,5
